Runde;Dato;Dag;Tid;Hjemmelag;Resultat;Bortelag;Bane;Turnering;Kampnummer;Spillform
1;09.04.2025;onsdag;19.00;Årvoll Blå;-;KFUM 1;Tonsenhagen kunstgress 7er C;Jenter 10 år 7er avd. 09;03210709003;7 MOT 7
1;09.04.2025;onsdag;19.00;Rustad Abildsø SK Sort;-;Bækkelaget Blå;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 09;03210709002;7 MOT 7
1;10.04.2025;torsdag;18.50;Korsvoll United;-;Hasle-Løren Rød;Korsvoll kunstgress 7er D;Jenter 10 år 7er avd. 09;03210709005;7 MOT 7
1;10.04.2025;torsdag;19.00;KFUM 2;-;Ellingsrud Gul;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 09;03210709004;7 MOT 7
1;11.04.2025;fredag;19.00;Oppsal falkene;-;Nordstrand Hvit;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 09;03210709001;7 MOT 7
2;22.04.2025;tirsdag;19.00;KFUM 1;-;KFUM 2;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 09;03210709007;7 MOT 7
2;25.04.2025;fredag;18.30;Nordstrand Hvit;-;Korsvoll United;Hallager kunstgr. 7er A;Jenter 10 år 7er avd. 09;03210709010;7 MOT 7
2;25.04.2025;fredag;19.00;Ellingsrud Gul;-;Oppsal falkene;Ellingsrud kunstgr. 7er A;Jenter 10 år 7er avd. 09;03210709006;7 MOT 7
2;25.04.2025;fredag;19.00;Bækkelaget Blå;-;Årvoll Blå;Ekeberg kunstgress 2 7er B;Jenter 10 år 7er avd. 09;03210709008;7 MOT 7
2;25.04.2025;fredag;19.00;Hasle-Løren Rød;-;Rustad Abildsø SK Sort;Løren kunstgress 7er;Jenter 10 år 7er avd. 09;03210709009;7 MOT 7
3;28.04.2025;mandag;19.00;Korsvoll United;-;Rustad Abildsø SK Sort;Korsvoll kunstgress 7er B;Jenter 10 år 7er avd. 09;03210709015;7 MOT 7
3;28.04.2025;mandag;19.00;Oppsal falkene;-;KFUM 1;Trasop kunstgress 3 - 7er;Jenter 10 år 7er avd. 09;03210709011;7 MOT 7
3;29.04.2025;tirsdag;19.00;Nordstrand Hvit;-;Ellingsrud Gul;Hundejordet kg 7er A;Jenter 10 år 7er avd. 09;03210709012;7 MOT 7
3;30.04.2025;onsdag;19.00;Årvoll Blå;-;Hasle-Løren Rød;Tonsenhagen kunstgress 7er C;Jenter 10 år 7er avd. 09;03210709013;7 MOT 7
3;30.04.2025;onsdag;17.30;KFUM 2;-;Bækkelaget Blå;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 09;03210709014;7 MOT 7
4;05.05.2025;mandag;19.00;Rustad Abildsø SK Sort;-;Årvoll Blå;Abildsø kunstg. 7er B;Jenter 10 år 7er avd. 09;03210709019;7 MOT 7
4;07.05.2025;onsdag;19.00;KFUM 1;-;Nordstrand Hvit;Ekeberg kunstgress 7er E;Jenter 10 år 7er avd. 09;03210709016;7 MOT 7
4;08.05.2025;torsdag;19.00;Ellingsrud Gul;-;Korsvoll United;Ellingsrud kunstgr. 7er B;Jenter 10 år 7er avd. 09;03210709020;7 MOT 7
4;09.05.2025;fredag;19.00;Hasle-Løren Rød;-;KFUM 2;Løren kunstgress 7er;Jenter 10 år 7er avd. 09;03210709018;7 MOT 7
4;10.05.2025;lørdag;13.50;Bækkelaget Blå;-;Oppsal falkene;Ekeberg kunstgress 2 7er B;Jenter 10 år 7er avd. 09;03210709017;7 MOT 7
5;12.05.2025;mandag;19.00;Ellingsrud Gul;-;KFUM 1;Ellingsrud 7 er;Jenter 10 år 7er avd. 09;03210709023;7 MOT 7
5;12.05.2025;mandag;19.00;KFUM 2;-;Rustad Abildsø SK Sort;Ekeberg 20 7er;Jenter 10 år 7er avd. 09;03210709024;7 MOT 7
5;15.05.2025;torsdag;17.50;Korsvoll United;-;Årvoll Blå;Korsvoll kunstgress 7er C;Jenter 10 år 7er avd. 09;03210709025;7 MOT 7
5;16.05.2025;fredag;19.00;Nordstrand Hvit;-;Bækkelaget Blå;Hallager kunstgr. 7er D;Jenter 10 år 7er avd. 09;03210709022;7 MOT 7
5;16.05.2025;fredag;19.00;Oppsal falkene;-;Hasle-Løren Rød;Godlia kunstgressbane 7er;Jenter 10 år 7er avd. 09;03210709021;7 MOT 7
