Runde;Dato;Dag;Tid;Hjemmelag;Resultat;Bortelag;Bane;Turnering;Kampnummer;Spillform
1;01.04.2025;tirsdag;17.45;KFUM Rød;-;Forward J2014;Ekeberg  kunstgress 7er A;Jenter 11 år avd. 10;03211110005;7 MOT 7
1;02.04.2025;onsdag;19.10;Årvoll Blå;-;Kjelsås Rosa;Tonsenhagen kunstgress 7er C;Jenter 11 år avd. 10;03211110004;7 MOT 7
1;02.04.2025;onsdag;19.10;Bjørndal Blå;-;Koll DKV;Bjørndal kunstg. 7er A;Jenter 11 år avd. 10;03211110006;7 MOT 7
1;02.04.2025;onsdag;19.10;HSIL 1;-;Nordstrand Hvit;Høybråten kg 7er;Jenter 11 år avd. 10;03211110001;7 MOT 7
1;02.04.2025;onsdag;19.10;Manglerud Star Lions;-;Hasle-Løren Rød;Manglerud kunstgress 7er;Jenter 11 år avd. 10;03211110002;7 MOT 7
1;02.04.2025;onsdag;19.10;Korsvoll Hawks;-;KFUM 5;Korsvoll kunstgress 7er;Jenter 11 år avd. 10;03211110003;7 MOT 7
2;08.04.2025;tirsdag;18.00;Koll DKV;-;Manglerud Star Lions;Kringsjå kunstg. 2 7er A;Jenter 11 år avd. 10;03211110011;7 MOT 7
2;08.04.2025;tirsdag;19.05;Forward J2014;-;HSIL 1;Jordal kunstgress 7er A;Jenter 11 år avd. 10;03211110007;7 MOT 7
2;08.04.2025;tirsdag;19.10;Hasle-Løren Rød;-;Korsvoll Hawks;Løren kunstgress 7er D;Jenter 11 år avd. 10;03211110010;7 MOT 7
2;09.04.2025;onsdag;19.10;Kjelsås Rosa;-;KFUM Rød;Kjelsåsmyra kunstgress 7er;Jenter 11 år avd. 10;03211110008;7 MOT 7
2;09.04.2025;onsdag;19.10;Nordstrand Hvit;-;Bjørndal Blå;Nordstrand kunstgress 2 9er 7er C;Jenter 11 år avd. 10;03211110012;7 MOT 7
2;12.04.2025;lørdag;14.00;KFUM 5;-;Årvoll Blå;Ekeberg  kunstgress 7er A;Jenter 11 år avd. 10;03211110009;7 MOT 7
3;21.04.2025;mandag;19.10;Nordstrand Hvit;-;Forward J2014;Hallager kunstgr. 7er D;Jenter 11 år avd. 10;03211110014;7 MOT 7
3;22.04.2025;tirsdag;17.35;KFUM Rød;-;KFUM 5;Ekeberg  kunstgress 7er A;Jenter 11 år avd. 10;03211110017;7 MOT 7
3;22.04.2025;tirsdag;19.10;Årvoll Blå;-;Hasle-Løren Rød;Tonsenhagen kunstgress 7er C;Jenter 11 år avd. 10;03211110016;7 MOT 7
3;23.04.2025;onsdag;19.10;Korsvoll Hawks;-;Koll DKV;Korsvoll kunstgress 7er;Jenter 11 år avd. 10;03211110015;7 MOT 7
3;23.04.2025;onsdag;19.10;HSIL 1;-;Kjelsås Rosa;Høybråten kg 7er;Jenter 11 år avd. 10;03211110013;7 MOT 7
3;24.04.2025;torsdag;19.10;Bjørndal Blå;-;Manglerud Star Lions;Bjørndal kunstg. 7er A;Jenter 11 år avd. 10;03211110018;7 MOT 7
4;29.04.2025;tirsdag;18.00;Koll DKV;-;Årvoll Blå;Kringsjå kunstg. 2 7er A;Jenter 11 år avd. 10;03211110022;7 MOT 7
4;30.04.2025;onsdag;18.30;KFUM 5;-;HSIL 1;Ekeberg  kunstgress 7er A;Jenter 11 år avd. 10;03211110020;7 MOT 7
4;30.04.2025;onsdag;19.10;Manglerud Star Lions;-;Korsvoll Hawks;Manglerud kunstgress 7er;Jenter 11 år avd. 10;03211110023;7 MOT 7
4;30.04.2025;onsdag;19.10;Kjelsås Rosa;-;Nordstrand Hvit;Kjelsåsmyra kunstgress 7er;Jenter 11 år avd. 10;03211110019;7 MOT 7
4;30.04.2025;onsdag;19.10;Hasle-Løren Rød;-;KFUM Rød;Løren kunstgress 7er D;Jenter 11 år avd. 10;03211110021;7 MOT 7
4;01.05.2025;torsdag;19.10;Forward J2014;-;Bjørndal Blå;Kampen skole 7er;Jenter 11 år avd. 10;03211110024;7 MOT 7
5;06.05.2025;tirsdag;17.35;KFUM Rød;-;Koll DKV;Ekeberg  kunstgress 7er A;Jenter 11 år avd. 10;03211110029;7 MOT 7
5;07.05.2025;onsdag;19.10;Forward J2014;-;Kjelsås Rosa;Kampen skole 7er;Jenter 11 år avd. 10;03211110027;7 MOT 7
5;07.05.2025;onsdag;19.10;HSIL 1;-;Hasle-Løren Rød;Høybråten kg 7er;Jenter 11 år avd. 10;03211110025;7 MOT 7
5;08.05.2025;torsdag;18.00;Nordstrand Hvit;-;KFUM 5;Hallager kunstgr. 7er D;Jenter 11 år avd. 10;03211110026;7 MOT 7
5;08.05.2025;torsdag;18.00;Årvoll Blå;-;Manglerud Star Lions;Tonsenhagen kunstgress 7er D;Jenter 11 år avd. 10;03211110028;7 MOT 7
5;08.05.2025;torsdag;19.05;Bjørndal Blå;-;Korsvoll Hawks;Bjørndal kunstg. 7er A;Jenter 11 år avd. 10;03211110030;7 MOT 7
6;13.05.2025;tirsdag;19.10;Kjelsås Rosa;-;Bjørndal Blå;Grefsen skole 7er;Jenter 11 år avd. 10;03211110036;7 MOT 7
6;14.05.2025;onsdag;19.10;Hasle-Løren Rød;-;Nordstrand Hvit;Løren kunstgress 7er D;Jenter 11 år avd. 10;03211110032;7 MOT 7
6;14.05.2025;onsdag;19.10;Korsvoll Hawks;-;Årvoll Blå;Korsvoll kunstgress 7er;Jenter 11 år avd. 10;03211110035;7 MOT 7
6;14.05.2025;onsdag;19.10;KFUM 5;-;Forward J2014;Ekeberg 20 7er;Jenter 11 år avd. 10;03211110031;7 MOT 7
6;14.05.2025;onsdag;19.10;Koll DKV;-;HSIL 1;Kollbanen 7er;Jenter 11 år avd. 10;03211110033;7 MOT 7
6;14.05.2025;onsdag;19.10;Manglerud Star Lions;-;KFUM Rød;Manglerud kunstgress 7er;Jenter 11 år avd. 10;03211110034;7 MOT 7
7;20.05.2025;tirsdag;18.00;Nordstrand Hvit;-;Koll DKV;Hallager kunstgr. 7er D;Jenter 11 år avd. 10;03211110038;7 MOT 7
7;20.05.2025;tirsdag;19.10;Kjelsås Rosa;-;KFUM 5;Kjelsåsmyra kunstgress 7er;Jenter 11 år avd. 10;03211110040;7 MOT 7
7;21.05.2025;onsdag;19.10;KFUM Rød;-;Korsvoll Hawks;Ekeberg 19 7er ;Jenter 11 år avd. 10;03211110041;7 MOT 7
7;21.05.2025;onsdag;19.10;HSIL 1;-;Manglerud Star Lions;Høybråten kg 7er;Jenter 11 år avd. 10;03211110037;7 MOT 7
7;22.05.2025;torsdag;19.05;Bjørndal Blå;-;Årvoll Blå;Bjørndal kunstg. 7er A;Jenter 11 år avd. 10;03211110042;7 MOT 7
7;22.05.2025;torsdag;19.05;Forward J2014;-;Hasle-Løren Rød;Jordal kunstgress 7er B;Jenter 11 år avd. 10;03211110039;7 MOT 7
8;24.05.2025;lørdag;13.30;Manglerud Star Lions;-;Nordstrand Hvit;Manglerud kunstg. 7er C;Jenter 11 år avd. 10;03211110045;7 MOT 7
8;24.05.2025;lørdag;14.00;Koll DKV;-;Forward J2014;Kollbanen 7er;Jenter 11 år avd. 10;03211110044;7 MOT 7
8;24.05.2025;lørdag;15.00;KFUM 5;-;Bjørndal Blå;Ekeberg 20 7er;Jenter 11 år avd. 10;03211110048;7 MOT 7
8;24.05.2025;lørdag;15.00;Årvoll Blå;-;KFUM Rød;Tonsenhagen kunstgress 7er D;Jenter 11 år avd. 10;03211110047;7 MOT 7
8;24.05.2025;lørdag;16.30;Korsvoll Hawks;-;HSIL 1;Korsvoll kunstgress 7er C;Jenter 11 år avd. 10;03211110046;7 MOT 7
8;25.05.2025;søndag;16.00;Hasle-Løren Rød;-;Kjelsås Rosa;Løren kunstgress 7er D;Jenter 11 år avd. 10;03211110043;7 MOT 7
9;27.05.2025;tirsdag;19.05;Forward J2014;-;Manglerud Star Lions;Jordal kunstgress 7er A;Jenter 11 år avd. 10;03211110051;7 MOT 7
9;27.05.2025;tirsdag;19.10;Bjørndal Blå;-;KFUM Rød;Bjørndal kunstg. 7er A;Jenter 11 år avd. 10;03211110054;7 MOT 7
